inside DefaultArgs : assigning default args
Network type:  uni
generating connection probabilities, NE, NI, K, thetaSig 1000 1000 100 0.75
generating  connectivity matrix... done!
Generating sparse representation ... done!
npost sum = 400891
convec sum =  400891
         125753 function calls (121864 primitive calls) in 0.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 __init__.py:17(<module>)
12023/11724    0.001    0.000    0.001    0.000 {len}
        1    0.001    0.001    0.001    0.001 mimetools.py:1(<module>)
        1    0.001    0.001    0.069    0.069 GetPO.py:1(<module>)
        1    0.001    0.001    0.001    0.001 FileDialog.py:9(<module>)
        1    0.001    0.001    0.062    0.062 texmanager.py:34(<module>)
        1    0.001    0.001    0.002    0.002 loader.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _pylab_helpers.py:3(<module>)
        1    0.001    0.001    0.003    0.003 format.py:136(<module>)
        1    0.001    0.001    0.001    0.001 code.py:3(<module>)
     2245    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.040    0.040 fontconfig_pattern.py:7(<module>)
        2    0.001    0.001    0.002    0.001 __init__.py:6(<module>)
   206/64    0.001    0.000    0.019    0.000 sre_parse.py:301(_parse_sub)
        1    0.001    0.001    0.001    0.001 csv.py:4(<module>)
        3    0.001    0.000    0.001    0.000 {method 'tofile' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.004    0.004 __init__.py:38(<module>)
        1    0.001    0.001    0.002    0.002 afm.py:35(<module>)
        1    0.001    0.001    0.001    0.001 mathtext.py:19(<module>)
        1    0.001    0.001    0.002    0.002 legend.py:13(<module>)
        1    0.001    0.001    0.209    0.209 pylab.py:215(<module>)
        1    0.001    0.001    0.016    0.016 font_manager.py:21(<module>)
       64    0.001    0.000    0.002    0.000 fnmatch.py:45(filter)
     4292    0.001    0.000    0.002    0.000 {getattr}
    174/2    0.001    0.000    0.003    0.002 pyparsing.py:892(_parseNoCache)
        7    0.001    0.000    0.001    0.000 nonlin.py:1428(_nonlin_wrapper)
        1    0.001    0.001    0.001    0.001 _mathtext_data.py:3(<module>)
      232    0.001    0.000    0.001    0.000 {range}
