inside DefaultArgs : assigning default args
Network type:  uni
generating connection probabilities, NE, NI, K, thetaSig 1000 1000 100 0.75
generating  connectivity matrix... done!
Generating sparse representation ... done!
npost sum = 400891
convec sum =  400891
         125753 function calls (121864 primitive calls) in 0.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
       21    0.000    0.000    0.000    0.000 numerictypes.py:220(_evalname)
        1    0.000    0.000    0.000    0.000 polar.py:20(PolarAxes)
       46    0.000    0.000    0.000    0.000 pyplot.py:1940(autogen_docstring)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       32    0.000    0.000    0.000    0.000 pyparsing.py:1464(parseImpl)
        1    0.000    0.000    0.000    0.000 _umfpack.py:9(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:788(_construct_lookups)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
       47    0.000    0.000    0.000    0.000 docstring.py:78(__call__)
       26    0.000    0.000    0.000    0.000 artist.py:28(allow_rasterization)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pyparsing.py:3295(_makeTags)
      106    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.001    0.001 difflib.py:29(<module>)
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
       43    0.000    0.000    0.000    0.000 pyparsing.py:2176(__init__)
       11    0.000    0.000    0.000    0.000 pyparsing.py:1678(__str__)
       83    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       69    0.000    0.000    0.001    0.000 cm.py:44(_reverse_cmap_spec)
       23    0.000    0.000    0.000    0.000 core.py:6019(getdoc)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
       91    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
       15    0.000    0.000    0.000    0.000 pyparsing.py:1746(__str__)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
       36    0.000    0.000    0.000    0.000 pyparsing.py:1117(__add__)
       68    0.000    0.000    0.042    0.001 re.py:188(compile)
        1    0.000    0.000    0.000    0.000 relativedelta.py:6(<module>)
       10    0.000    0.000    0.000    0.000 {fcntl.fcntl}
        1    0.000    0.000    0.000    0.000 mathtext.py:2056(Parser)
        7    0.000    0.000    0.000    0.000 {imp.find_module}
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        3    0.000    0.000    0.000    0.000 {posix.urandom}
   108/69    0.000    0.000    0.001    0.000 {issubclass}
       64    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
       92    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 ctypeslib.py:169(from_param)
       34    0.000    0.000    0.000    0.000 {posix.putenv}
        1    0.000    0.000    0.000    0.000 legend.py:86(Legend)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3213(<lambda>)
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
       71    0.000    0.000    0.000    0.000 docstring.py:90(do_copy)
       54    0.000    0.000    0.000    0.000 pyparsing.py:1405(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:634(RcParams)
        1    0.000    0.000    0.000    0.000 lobpcg.py:11(<module>)
       29    0.000    0.000    0.000    0.000 pyparsing.py:1345(__str__)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
       64    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
      271    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
       11    0.000    0.000    0.004    0.000 artist.py:788(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 core.py:2579(MaskedArray)
        5    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
       16    0.000    0.000    0.001    0.000 abc.py:105(register)
        5    0.000    0.000    0.067    0.013 __init__.py:173(_is_writable_dir)
       12    0.000    0.000    0.000    0.000 pyparsing.py:459(copy)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       22    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
      180    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      175    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
       14    0.000    0.000    0.000    0.000 rcsetup.py:36(__init__)
        2    0.000    0.000    0.020    0.010 getlimits.py:126(_init)
       13    0.000    0.000    0.000    0.000 __init__.py:427(_get_home)
       30    0.000    0.000    0.000    0.000 random.py:272(choice)
       11    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        5    0.000    0.000    0.065    0.013 tempfile.py:464(TemporaryFile)
       18    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
       26    0.000    0.000    0.019    0.001 {map}
        1    0.000    0.000    0.000    0.000 Tkinter.py:339(Misc)
        1    0.000    0.000    0.000    0.000 units.py:44(<module>)
     22/3    0.000    0.000    0.000    0.000 pyparsing.py:2582(streamline)
     10/6    0.000    0.000    0.001    0.000 pyparsing.py:2194(leaveWhitespace)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 markers.py:21(MarkerStyle)
        8    0.000    0.000    0.000    0.000 utils.py:69(__call__)
        9    0.000    0.000    0.020    0.002 getlimits.py:93(__new__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2267(And)
        1    0.000    0.000    0.000    0.000 image.py:31(_AxesImageBase)
      199    0.000    0.000    0.000    0.000 __init__.py:5(<lambda>)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        5    0.000    0.000    0.068    0.014 __init__.py:454(_get_configdir)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 lil.py:2(<module>)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3121(_escapeRegexRangeChars)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:131(english_lower)
       18    0.000    0.000    0.000    0.000 core.py:906(__init__)
      151    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.016    0.005 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 parser.py:290(parser)
        2    0.000    0.000    0.000    0.000 {function seed at 0x12aac08}
       10    0.000    0.000    0.000    0.000 getlimits.py:150(<lambda>)
       15    0.000    0.000    0.000    0.000 genericpath.py:38(isdir)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
       40    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
        1    0.000    0.000    0.061    0.061 texmanager.py:72(TexManager)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:459(_set_array_types)
        1    0.000    0.000    0.000    0.000 parser.py:702(_result)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:69(__init__)
      160    0.000    0.000    0.000    0.000 {max}
       45    0.000    0.000    0.000    0.000 docstring.py:39(update)
        2    0.000    0.000    0.000    0.000 {method 'flush' of 'file' objects}
       59    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
      105    0.000    0.000    0.000    0.000 {unichr}
        1    0.000    0.000    0.001    0.001 _import_tools.py:241(_execcmd)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3207(<lambda>)
       68    0.000    0.000    0.000    0.000 pyparsing.py:1351(streamline)
      113    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        4    0.000    0.000    0.000    0.000 numeric.py:588(require)
        6    0.000    0.000    0.001    0.000 pyparsing.py:2919(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:206(BboxBase)
      166    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        6    0.000    0.000    0.000    0.000 {posix.getcwd}
        1    0.000    0.000    0.000    0.000 _umfpack.py:11(swig_import_helper)
        5    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        8    0.000    0.000    0.000    0.000 {numpy.core.multiarray.arange}
        8    0.000    0.000    0.000    0.000 nonlin.py:210(_set_doc)
       10    0.000    0.000    0.000    0.000 posixpath.py:341(abspath)
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
       13    0.000    0.000    0.000    0.000 pyparsing.py:820(setParseAction)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        1    0.000    0.000    0.000    0.000 interface.py:1(<module>)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:700(_tzparser)
        1    0.000    0.000    0.000    0.000 colorbar.py:20(<module>)
        1    0.000    0.000    0.000    0.000 os.py:504(copy)
      149    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.030    0.030 _import_tools.py:130(__call__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      174    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
       12    0.000    0.000    0.000    0.000 pyparsing.py:434(_asStringList)
       75    0.000    0.000    0.000    0.000 pyparsing.py:1301(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 geo.py:245(AitoffAxes)
       34    0.000    0.000    0.000    0.000 os.py:470(__setitem__)
       13    0.000    0.000    0.000    0.000 pyparsing.py:726(_normalizeParseActionArgs)
       41    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
      368    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
      118    0.000    0.000    0.000    0.000 __init__.py:18(<lambda>)
        3    0.000    0.000    0.000    0.000 decimal.py:3776(__init__)
        5    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
      135    0.000    0.000    0.000    0.000 markers.py:675(<lambda>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 lines.py:71(Line2D)
        1    0.000    0.000    0.000    0.000 numerictypes.py:436(_construct_char_code_lookup)
        1    0.000    0.000    0.000    0.000 path.py:18(Path)
        1    0.000    0.000    0.000    0.000 transforms.py:697(Bbox)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:302(SymmetricalLogScale)
       49    0.000    0.000    0.000    0.000 {setattr}
     12/6    0.000    0.000    0.001    0.000 pyparsing.py:2563(leaveWhitespace)
      153    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 collections.py:26(Collection)
        1    0.000    0.000    0.002    0.002 csr.py:10(swig_import_helper)
        1    0.000    0.000    0.000    0.000 os.py:473(update)
       17    0.000    0.000    0.000    0.000 pyparsing.py:688(setName)
        2    0.000    0.000    0.003    0.001 pyparsing.py:2704(parseImpl)
        1    0.000    0.000    0.000    0.000 geo.py:514(LambertAxes)
        1    0.000    0.000    0.002    0.002 csr.py:8(<module>)
        2    0.000    0.000    0.000    0.000 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 DefaultArgs.py:3(DefaultArgs)
        8    0.000    0.000    0.000    0.000 utils.py:113(deprecate)
        1    0.000    0.000    0.000    0.000 matfuncs.py:5(<module>)
        1    0.000    0.000    0.000    0.000 tricontour.py:1(<module>)
       59    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        1    0.000    0.000    0.000    0.000 geo.py:416(MollweideAxes)
       29    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
       30    0.000    0.000    0.000    0.000 pyparsing.py:347(__bool__)
        1    0.000    0.000    0.000    0.000 new.py:5(<module>)
        4    0.000    0.000    0.001    0.000 warnings.py:45(filterwarnings)
        5    0.000    0.000    0.000    0.000 tempfile.py:47(_set_cloexec)
        1    0.000    0.000    0.000    0.000 pickle.py:827(Unpickler)
       28    0.000    0.000    0.000    0.000 __init__.py:231(report)
       28    0.000    0.000    0.000    0.000 __init__.py:263(ge)
      356    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 axis.py:593(Axis)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 geo.py:330(HammerAxes)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 os.py:497(clear)
       62    0.000    0.000    0.000    0.000 {sys._getframe}
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
        7    0.000    0.000    0.000    0.000 __init__.py:648(__setitem__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:387(_set_up_aliases)
       70    0.000    0.000    0.000    0.000 docstring.py:105(copy_dedent)
       47    0.000    0.000    0.000    0.000 docstring.py:74(__init__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:308(__setitem__)
       22    0.000    0.000    0.000    0.000 pyparsing.py:299(__getitem__)
      163    0.000    0.000    0.000    0.000 {method 'start' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2749(__init__)
       71    0.000    0.000    0.000    0.000 docstring.py:88(copy)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
       55    0.000    0.000    0.000    0.000 collections.py:294(<genexpr>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:104(_get_sorted_names)
        1    0.000    0.000    0.000    0.000 pyparsing.py:645(ParserElement)
       46    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
        6    0.000    0.000    0.000    0.000 {numpy.core.multiarray.result_type}
      101    0.000    0.000    0.000    0.000 __init__.py:20(<lambda>)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
      106    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
       19    0.000    0.000    0.000    0.000 pyparsing.py:2899(__init__)
        5    0.000    0.000    0.000    0.000 tempfile.py:123(rng)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1409(setName)
       15    0.000    0.000    0.000    0.000 {locals}
        2    0.000    0.000    0.004    0.002 pyparsing.py:3215(srange)
        1    0.000    0.000    0.000    0.000 decomp_lu.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.000    0.000 artist.py:66(Artist)
       34    0.000    0.000    0.000    0.000 {posix.unsetenv}
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
       40    0.000    0.000    0.000    0.000 numerictypes.py:158(english_upper)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 lsqr.py:50(<module>)
        1    0.000    0.000    0.000    0.000 decimal.py:506(Decimal)
        1    0.000    0.000    0.000    0.000 twodim_base.py:190(eye)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
       13    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 axes.py:8518(subplot_class_factory)
      136    0.000    0.000    0.000    0.000 {cmp}
       39    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
        1    0.000    0.000    0.000    0.000 special_matrices.py:2(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:44(group)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        6    0.000    0.000    0.000    0.000 decimal.py:515(__new__)
        1    0.000    0.000    0.000    0.000 triplot.py:1(<module>)
       10    0.000    0.000    0.000    0.000 legend_handler.py:55(__init__)
       59    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 windowing.py:8(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:493(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 Print2Pdf.py:2(<module>)
       27    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 __init__.py:432(__getattr__)
        7    0.000    0.000    0.000    0.000 pyparsing.py:1215(__or__)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 text.py:141(Text)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.000    0.000 handler.py:10(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:255(TextCalendar)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       14    0.000    0.000    0.000    0.000 numerictypes.py:185(english_capitalize)
        1    0.000    0.000    0.000    0.000 misc.py:1(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:14(pylab_setup)
       23    0.000    0.000    0.000    0.000 core.py:6014(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:200(__init__)
        1    0.000    0.000    0.000    0.000 backend_agg.py:43(RendererAgg)
        3    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
       33    0.000    0.000    0.000    0.000 core.py:5727(isMaskedArray)
        1    0.000    0.000    0.000    0.000 reportfig.py:1(<module>)
       13    0.000    0.000    0.000    0.000 pyparsing.py:1687(charsAsStr)
        1    0.000    0.000    0.000    0.000 dual.py:12(<module>)
        2    0.000    0.000    0.020    0.010 machar.py:97(__init__)
        1    0.000    0.000    0.000    0.000 figure.py:203(Figure)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2805(Text)
       12    0.000    0.000    0.000    0.000 posixpath.py:51(isabs)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
       49    0.000    0.000    0.000    0.000 {iter}
       59    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 tripcolor.py:1(<module>)
       43    0.000    0.000    0.000    0.000 __init__.py:11(<lambda>)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.004    0.004 decomp_schur.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2428(seterr)
       98    0.000    0.000    0.000    0.000 rcsetup.py:40(func)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2400(__init__)
        1    0.000    0.000    0.000    0.000 cbook.py:111(CallbackRegistry)
        2    0.000    0.000    0.000    0.000 threading.py:185(__init__)
        1    0.000    0.000    0.000    0.000 construct.py:2(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1394(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3129(oneOf)
        1    0.000    0.000    0.000    0.000 scale.py:448(get_scale_docs)
        1    0.000    0.000    0.000    0.000 codeop.py:57(<module>)
        1    0.000    0.000    0.000    0.000 spines.py:17(Spine)
       55    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2105(Canvas)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2004(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7242(getdoc)
        2    0.000    0.000    0.003    0.002 pyparsing.py:1018(parseString)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
        1    0.000    0.000    0.000    0.000 process.py:86(Process)
        1    0.000    0.000    0.000    0.000 _import_tools.py:9(__init__)
        1    0.000    0.000    0.000    0.000 {time.localtime}
       21    0.000    0.000    0.000    0.000 numeric.py:394(asarray)
        1    0.000    0.000    0.000    0.000 quiver.py:366(Quiver)
       15    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
        3    0.000    0.000    0.000    0.000 numerictypes.py:611(obj2sctype)
        1    0.000    0.000    0.000    0.000 axis.py:22(Tick)
        8    0.000    0.000    0.000    0.000 UserDict.py:58(get)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:1376(getException)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
       79    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 minres.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:1638(IdentityTransform)
       70    0.000    0.000    0.000    0.000 pyparsing.py:888(postParse)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 pyparsing.py:247(ParseResults)
        7    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
       12    0.000    0.000    0.000    0.000 dual.py:52(register_func)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1462(Wm)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        6    0.000    0.000    0.000    0.000 {sorted}
        7    0.000    0.000    0.000    0.000 legend_handler.py:128(__init__)
        1    0.000    0.000    0.000    0.000 posixpath.py:95(splitext)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        5    0.000    0.000    0.000    0.000 cbook.py:1132(__init__)
        4    0.000    0.000    0.000    0.000 _internal.py:225(__init__)
        1    0.000    0.000    0.000    0.000 rrule.py:893(_rrulestr)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        3    0.000    0.000    0.000    0.000 index_tricks.py:242(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:423(Thread)
       33    0.000    0.000    0.000    0.000 cm.py:23(_reverser)
        1    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
       13    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 csc.py:8(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 tz.py:83(tzlocal)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:2125(identity)
      159    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 pyparsing.py:2754(parseImpl)
        4    0.000    0.000    0.000    0.000 legend_handler.py:159(__init__)
        1    0.000    0.000    0.011    0.011 font_manager.py:930(pickle_load)
        2    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 patches.py:44(Patch)
        6    0.000    0.000    0.000    0.000 numeric.py:2524(geterr)
        9    0.000    0.000    0.000    0.000 core.py:2426(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7237(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:444(Image)
        1    0.000    0.000    0.000    0.000 triangulation.py:5(Triangulation)
        2    0.000    0.000    0.000    0.000 version.py:268(parse)
        1    0.000    0.000    0.000    0.000 transforms.py:1359(Affine2DBase)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 ssl.py:100(SSLSocket)
       24    0.000    0.000    0.000    0.000 getlimits.py:13(_frz)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        1    0.000    0.000    0.000    0.000 dia.py:8(<module>)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 process.py:301(__init__)
        1    0.000    0.000    0.000    0.000 table.py:145(Table)
        2    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
       13    0.000    0.000    0.000    0.000 _methods.py:40(_all)
        5    0.000    0.000    0.000    0.000 functools.py:39(wraps)
       68    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 transforms.py:1685(BlendedGenericTransform)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 bsr.py:8(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:618(Popen)
        1    0.000    0.000    0.000    0.000 font_manager.py:584(FontProperties)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1256(AnnotationBbox)
        1    0.000    0.000    0.000    0.000 csgraph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sputils.py:2(<module>)
        3    0.000    0.000    0.016    0.005 _methods.py:31(_sum)
        4    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        5    0.000    0.000    0.000    0.000 iterative.py:66(combine)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
        5    0.000    0.000    0.000    0.000 re.py:204(escape)
        1    0.000    0.000    0.000    0.000 parser.py:165(parserinfo)
        2    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 sysconfig.py:45(_python_build)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2480(Listbox)
        1    0.000    0.000    0.000    0.000 urllib.py:115(URLopener)
        6    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       69    0.000    0.000    0.000    0.000 posixpath.py:43(normcase)
        1    0.000    0.000    0.000    0.000 mathtext.py:681(BakomaFonts)
        1    0.000    0.000    0.000    0.000 base.py:44(spmatrix)
        1    0.000    0.000    0.000    0.000 tight_bbox.py:3(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:435(__init__)
       27    0.000    0.000    0.000    0.000 decimal.py:3803(<genexpr>)
        1    0.000    0.000    0.000    0.000 compressed.py:17(_cs_matrix)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2375(Entry)
       12    0.000    0.000    0.000    0.000 getlimits.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 transforms.py:1449(Affine2D)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:468(StringConverter)
        1    0.000    0.000    0.000    0.000 contour.py:49(ContourLabeler)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.000    0.000    0.000    0.000 coo.py:8(<module>)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 {math.exp}
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 decomp_cholesky.py:1(<module>)
